order_id,customer_id,order_date,order_total,feedback_rating,time_spent
1,349,2021-04-20,2996,5,51
2,257,2021-05-17,106,5,104
3,898,2020-09-13,1739,4,18
4,188,2021-04-04,3563,2,18
5,691,2020-10-04,2088,2,9
6,326,2021-01-29,2823,2,90
7,111,2020-07-02,1840,5,9
8,244,2021-11-06,2211,3,90
9,948,2020-09-15,1974,4,55
10,610,2020-10-17,4664,4,67
11,27,2020-11-17,3872,3,119
12,646,2020-06-04,4447,5,46
13,187,2020-07-06,4943,1,92
14,323,2020-10-26,4714,1,115
15,600,2021-01-11,4758,1,91
16,423,2021-09-24,2917,3,79
17,944,2021-10-08,3941,3,12
18,62,2021-08-15,3853,5,63
19,754,2022-02-13,1399,3,17
20,673,2021-06-01,1537,4,20
21,332,2020-07-02,3856,4,23
22,107,2020-12-20,3499,2,15
23,926,2020-09-11,3377,1,8
24,163,2020-11-20,990,3,60
25,474,2020-09-10,4997,1,5
26,80,2022-05-03,407,2,17
27,685,2022-02-06,2087,1,5
28,91,2021-08-14,103,1,68
29,312,2022-03-03,2437,4,107
30,801,2022-04-04,888,5,24
31,581,2022-03-07,289,4,43
32,917,2022-02-06,1691,1,10
33,492,2020-10-03,750,3,13
34,728,2021-04-09,3870,4,117
35,520,2021-03-21,679,4,35
36,437,2020-09-25,1392,4,95
37,665,2020-09-05,3770,3,59
38,975,2022-02-17,804,2,19
39,716,2020-06-18,4267,2,109
40,992,2020-06-08,2670,1,117
41,91,2020-09-08,2167,2,14
42,57,2022-04-05,1394,5,27
43,929,2021-12-13,1277,5,82
44,117,2020-08-22,1121,2,120
45,944,2020-11-27,3477,5,64
46,724,2020-06-27,1002,2,71
47,655,2021-05-02,4914,2,71
48,707,2020-07-27,198,3,46
49,730,2021-03-11,532,5,31
50,609,2020-09-15,2935,3,102
51,33,2022-03-07,508,2,73
52,306,2020-06-28,4183,5,87
53,165,2020-12-27,203,5,96
54,813,2020-09-28,1152,1,64
55,4,2022-05-22,2079,4,19
56,846,2021-09-29,2951,3,16
57,178,2021-12-08,550,3,105
58,206,2021-09-05,431,3,25
59,401,2021-09-13,2705,3,26
60,541,2021-09-07,3049,5,7
61,37,2021-11-14,3324,4,112
